,brand,owner,fuel,selling_price
0,Ferrari,third,diesel,8130000
1,Porsche,first,cng,9980000
2,Ferrari,first,lpg,4960000
3,Audi,first,lpg,8930000
4,Chevrolet,third,petrol,9340000
5,Renault,third,diesel,9550000
6,Jaguar,first,diesel,6050000
7,Toyota,first,diesel,3560000
8,Jaguar,third,diesel,7450000
9,Toyota,third,diesel,4690000
10,Renault,first,cng,1280000
11,Audi,third,cng,3190000
12,Ford,second,petrol,2470000
13,Jaguar,second,lpg,8070000
14,Tesla,third,diesel,6370000
15,Toyota,second,petrol,3020000
16,Nissan,third,diesel,9540000
17,Tesla,second,diesel,5850000
18,Jaguar,first,cng,9850000
19,Volkswagen,first,lpg,7570000
20,Ford,second,lpg,7770000
21,Ford,third,diesel,9530000
22,Volvo,second,petrol,5620000
23,Toyota,first,lpg,7180000
24,Chevrolet,second,petrol,5470000
25,Toyota,third,diesel,6820000
26,Ford,first,lpg,3530000
27,Volvo,third,cng,3980000
28,Renault,first,petrol,3080000
29,Ford,first,cng,4890000
30,Ford,first,lpg,9410000
31,Nissan,first,lpg,7910000
32,Jaguar,third,lpg,6020000
33,Tesla,second,lpg,6270000
34,Ford,third,diesel,8480000
35,Ferrari,second,petrol,5630000
36,Volvo,third,diesel,2820000
37,Audi,third,diesel,9830000
38,Ford,first,petrol,9540000
39,Chevrolet,third,cng,7740000
40,Ferrari,third,diesel,1290000
41,Jaguar,third,diesel,7760000
42,Chevrolet,second,diesel,9270000
43,Peugeot,first,cng,4050000
44,Toyota,first,petrol,1410000
45,Ford,second,lpg,9230000
46,Peugeot,first,diesel,5100000
47,Tesla,third,diesel,1840000
48,Peugeot,second,lpg,1350000
49,Renault,first,petrol,9470000
50,Audi,first,diesel,4440000
51,Volkswagen,third,petrol,2100000
52,Renault,second,petrol,9580000
53,Porsche,third,cng,8200000
54,Honda,third,cng,8290000
55,Ford,first,petrol,4700000
56,Peugeot,first,cng,6400000
57,Volkswagen,second,lpg,2900000
58,Jaguar,third,diesel,8780000
59,Volkswagen,first,petrol,6890000
60,Tesla,second,lpg,5160000
61,Ferrari,first,diesel,2460000
62,Volkswagen,first,cng,8990000
63,Tesla,third,lpg,5170000
64,Volvo,third,cng,8890000
65,Jaguar,first,diesel,4100000
66,Volkswagen,third,cng,4020000
67,Volvo,third,diesel,4390000
68,Volkswagen,third,diesel,6490000
69,Volkswagen,second,petrol,4840000
70,Volvo,second,petrol,7530000
71,Volkswagen,second,cng,9990000
72,Volkswagen,first,lpg,2590000
73,Ford,first,diesel,2010000
74,Lamborghini,second,petrol,3640000
75,Volkswagen,first,cng,2630000
76,Renault,third,diesel,4850000
77,Audi,first,lpg,9900000
78,Jaguar,third,lpg,9980000
79,Ford,first,cng,9680000
80,Peugeot,first,diesel,9450000
81,Porsche,first,cng,2080000
82,Toyota,second,lpg,4180000
83,Renault,third,cng,2560000
84,Ferrari,third,petrol,6290000
85,Tesla,first,diesel,8720000
86,Tesla,first,petrol,6240000
87,Volvo,first,petrol,4320000
88,Peugeot,first,cng,1550000
89,Chevrolet,second,cng,4930000
90,Chevrolet,first,petrol,9640000
91,Porsche,first,lpg,3720000
92,Toyota,second,diesel,8490000
93,Peugeot,second,lpg,3250000
94,Porsche,third,diesel,3180000
95,Ferrari,second,petrol,7620000
96,Audi,first,lpg,5270000
97,Audi,third,lpg,3240000
98,Tesla,first,cng,2970000
99,Volkswagen,third,cng,6480000
100,Jaguar,second,petrol,7260000
101,Toyota,third,petrol,5430000
102,Honda,second,petrol,4440000
103,Audi,third,cng,3720000
104,Peugeot,second,cng,3690000
105,Renault,second,lpg,7190000
106,Toyota,third,diesel,4460000
107,Jaguar,first,diesel,1640000
108,Porsche,first,lpg,8950000
109,Volvo,second,petrol,2170000
110,Jaguar,second,petrol,3580000
111,Volvo,third,lpg,6520000
112,Ferrari,first,cng,1620000
113,Toyota,second,lpg,2940000
114,Renault,second,diesel,7380000
115,Ferrari,third,petrol,9180000
116,Volkswagen,first,petrol,4450000
117,Ferrari,third,diesel,3380000
118,Chevrolet,second,lpg,9180000
119,Peugeot,first,lpg,4350000
120,BMW,first,lpg,1710000
121,Audi,second,diesel,2550000
122,Volvo,third,diesel,6100000
123,Chevrolet,second,cng,8430000
124,Peugeot,third,lpg,7020000
125,Porsche,third,cng,4420000
126,Ferrari,second,diesel,9500000
127,Audi,third,petrol,7140000
128,Peugeot,first,petrol,4720000
129,Volvo,third,lpg,3490000
130,Chevrolet,second,cng,2470000
131,Volvo,first,petrol,4990000
132,Porsche,first,lpg,7440000
133,Volkswagen,second,lpg,8290000
134,Ferrari,third,petrol,5220000
135,Volkswagen,third,cng,4160000
136,Volvo,second,lpg,7340000
137,Ferrari,third,diesel,9260000
138,Volvo,first,diesel,6660000
139,Tesla,second,petrol,1190000
140,Jaguar,first,petrol,1440000
141,Toyota,second,diesel,6990000
142,Audi,second,petrol,2880000
143,Honda,third,lpg,2680000
144,Peugeot,third,diesel,5480000
145,Volvo,third,cng,4920000
146,Renault,first,diesel,9670000
147,Porsche,second,cng,7880000
148,Renault,first,lpg,8820000
149,Peugeot,first,diesel,8640000
150,Jaguar,second,diesel,1540000
151,Volvo,third,diesel,6770000
152,Volkswagen,third,lpg,2970000
153,Toyota,second,diesel,7510000
154,Volkswagen,third,cng,6730000
155,Chevrolet,first,cng,8360000
156,Tesla,third,lpg,8440000
157,Porsche,third,lpg,7930000
158,Chevrolet,third,cng,5870000
159,Renault,third,diesel,6460000
160,Audi,second,lpg,4740000
161,Porsche,first,lpg,9510000
162,Renault,second,lpg,4440000
163,Chevrolet,first,lpg,2700000
164,Ferrari,second,diesel,7120000
165,Jaguar,third,petrol,9060000
166,Audi,third,diesel,3440000
167,Audi,second,petrol,9430000
168,Jaguar,third,cng,2630000
169,Lamborghini,first,diesel,6830000
170,Renault,first,lpg,1850000
171,Honda,first,diesel,2430000
172,Renault,third,petrol,3180000
173,Ferrari,first,cng,4960000
174,Chevrolet,third,diesel,3510000
175,Audi,first,petrol,3370000
176,Jaguar,third,cng,1010000
177,Porsche,third,diesel,5390000
178,Toyota,first,cng,4120000
179,Ford,second,petrol,1160000
180,Chevrolet,third,diesel,6700000
181,Mercedes-Benz,second,diesel,3460000
182,Porsche,first,cng,6760000
183,Honda,first,cng,3280000
184,Mitsubishi,second,lpg,4700000
185,Ferrari,first,cng,2650000
186,Toyota,first,cng,8400000
187,BMW,second,cng,6960000
188,Ford,first,diesel,9110000
189,Toyota,third,cng,8450000
190,Volvo,third,lpg,7060000
191,Ferrari,second,petrol,1060000
192,Volkswagen,third,petrol,8330000
193,Ford,third,petrol,5400000
194,Chevrolet,third,diesel,6280000
195,Porsche,third,cng,8100000
196,Jaguar,third,lpg,9270000
197,Chevrolet,third,cng,6300000
198,Volvo,third,petrol,9060000
199,Audi,second,cng,1100000
200,Toyota,first,lpg,4500000
201,Volvo,second,diesel,5430000
202,Volvo,third,diesel,4180000
203,Volkswagen,first,cng,7630000
204,Porsche,third,petrol,1120000
205,Jaguar,first,diesel,7810000
206,Jaguar,second,petrol,9080000
207,Porsche,third,cng,2040000
208,Ford,third,lpg,4640000
209,Tesla,first,petrol,4990000
210,Volvo,first,petrol,2570000
211,Porsche,first,lpg,6400000
212,Mitsubishi,third,diesel,2460000
213,Renault,second,lpg,9720000
214,Audi,third,lpg,9460000
215,Audi,second,lpg,6430000
216,Audi,second,lpg,8190000
217,Ferrari,first,diesel,1900000
218,Jaguar,first,cng,5920000
219,Audi,third,diesel,8700000
220,Ford,third,diesel,5950000
221,Volkswagen,first,cng,2580000
222,Mitsubishi,first,diesel,4300000
223,Jaguar,third,diesel,8460000
224,Porsche,second,lpg,3640000
225,Jaguar,second,cng,4550000
226,Kia,third,cng,7040000
227,Porsche,second,lpg,2710000
228,Peugeot,third,petrol,9160000
229,Chevrolet,first,lpg,9410000
230,Volvo,first,cng,9380000
231,Peugeot,first,lpg,4040000
232,Volkswagen,first,cng,4830000
233,Ford,second,lpg,4260000
234,Ferrari,second,petrol,1890000
235,Ferrari,second,lpg,6030000
236,Ferrari,first,diesel,9850000
237,Ford,third,diesel,7400000
238,Audi,third,lpg,3000000
239,Peugeot,third,diesel,4760000
240,Jaguar,first,cng,2750000
241,Peugeot,third,lpg,5500000
242,Tesla,first,lpg,7750000
243,Audi,third,diesel,5990000
244,Honda,third,petrol,7780000
245,Volvo,first,diesel,1070000
246,Peugeot,second,lpg,8110000
247,Mitsubishi,first,lpg,5990000
248,Jaguar,first,lpg,5260000
249,Peugeot,second,diesel,2330000
250,Chevrolet,first,diesel,9270000
251,Chevrolet,first,lpg,8950000
252,Chevrolet,first,diesel,8770000
253,Volvo,third,lpg,5480000
254,BMW,second,cng,1060000
255,Chevrolet,first,petrol,5430000
256,Volvo,first,petrol,9590000
257,Renault,third,lpg,7530000
258,Renault,third,diesel,3620000
259,Renault,first,diesel,2210000
260,Toyota,first,petrol,5010000
261,Tesla,first,cng,7180000
262,Renault,third,diesel,5870000
263,Jaguar,first,cng,4360000
264,Audi,second,cng,2610000
265,Jaguar,second,cng,3600000
266,Peugeot,first,cng,1690000
267,Peugeot,first,diesel,1530000
268,Chevrolet,second,lpg,4410000
269,Jaguar,first,cng,4240000
270,Ford,second,lpg,4120000
271,Ford,second,cng,1430000
272,Volkswagen,third,petrol,6340000
273,Porsche,third,petrol,2480000
274,Peugeot,third,petrol,7960000
275,Renault,third,diesel,2360000
276,Nissan,first,cng,7440000
277,Peugeot,second,diesel,2230000
278,Tesla,first,cng,4410000
279,Ford,third,petrol,3530000
280,Renault,first,petrol,7130000
281,Peugeot,third,cng,8810000
282,Jaguar,third,lpg,3500000
283,Porsche,first,diesel,2230000
284,Porsche,first,petrol,6690000
285,Tesla,third,lpg,3930000
286,Peugeot,first,lpg,1700000
287,Chevrolet,first,cng,4330000
288,Volkswagen,third,diesel,7000000
289,Chevrolet,second,lpg,6140000
290,Chevrolet,second,lpg,9190000
291,Toyota,first,petrol,3030000
292,Jaguar,second,diesel,8810000
293,Volkswagen,second,petrol,8130000
294,Volkswagen,second,lpg,6530000
295,Peugeot,third,diesel,9530000
296,Chevrolet,third,petrol,9100000
297,Chevrolet,second,lpg,3650000
298,Ferrari,second,diesel,4150000
299,Chevrolet,second,diesel,7540000
300,Ferrari,first,cng,6960000
301,Tesla,second,cng,1910000
302,Jaguar,first,diesel,1430000
303,Chevrolet,first,petrol,9040000
304,Audi,second,diesel,1080000
305,Audi,first,lpg,4470000
306,Audi,second,petrol,7700000
307,Ford,second,cng,3470000
308,Nissan,first,diesel,8050000
309,Mitsubishi,third,cng,6810000
310,Jaguar,second,petrol,6530000
311,Porsche,second,cng,1500000
312,Kia,second,petrol,6060000
313,Renault,third,diesel,6950000
314,Ford,second,cng,5820000
315,Tesla,second,diesel,4790000
316,Ford,first,petrol,5130000
317,Ford,second,cng,4820000
318,Audi,first,diesel,7140000
319,Volkswagen,second,diesel,1360000
320,Ford,first,petrol,8510000
321,Porsche,third,petrol,1420000
322,Mitsubishi,second,petrol,3250000
323,Audi,third,diesel,7980000
324,Ferrari,first,petrol,1300000
325,Peugeot,first,cng,3870000
326,Volvo,first,diesel,2590000
327,Toyota,second,lpg,5040000
328,Audi,second,lpg,2560000
329,Audi,second,petrol,8890000
330,Porsche,third,cng,7160000
331,Toyota,first,lpg,8450000
332,Jaguar,first,lpg,5180000
333,Volkswagen,second,lpg,6990000
334,Jaguar,first,cng,8400000
335,Tesla,second,diesel,9910000
336,Audi,second,cng,1620000
337,Honda,third,diesel,4850000
338,Peugeot,second,petrol,8740000
339,Tesla,second,petrol,2350000
340,Porsche,third,petrol,6260000
341,Toyota,second,cng,8180000
342,Ford,first,lpg,1200000
343,Tesla,first,diesel,9300000
344,Jaguar,second,diesel,3120000
345,Jaguar,third,cng,6380000
346,Peugeot,third,petrol,5380000
347,Chevrolet,third,petrol,2010000
348,Renault,first,diesel,6390000
349,Toyota,third,lpg,5400000
350,Peugeot,second,cng,6870000
351,Porsche,third,petrol,4240000
352,Audi,first,petrol,7500000
353,Toyota,first,cng,9050000
354,Volkswagen,third,cng,5840000
355,Volkswagen,third,lpg,6780000
356,Peugeot,third,cng,9370000
357,Volkswagen,first,petrol,7260000
358,Volkswagen,second,diesel,4390000
359,Jaguar,second,diesel,3280000
360,Volvo,second,cng,1110000
361,Audi,third,cng,9550000
362,Tesla,second,diesel,8890000
363,Peugeot,third,diesel,6330000
364,Renault,third,petrol,3420000
365,Ferrari,first,diesel,5930000
366,Toyota,second,diesel,4290000
367,Volvo,third,lpg,6120000
368,Honda,second,lpg,3840000
369,Audi,second,diesel,7470000
370,Porsche,first,petrol,4030000
371,Volkswagen,first,lpg,2750000
372,Ford,first,lpg,6630000
373,Chevrolet,third,petrol,7910000
374,Porsche,second,diesel,9570000
375,Porsche,third,lpg,3760000
376,Toyota,second,diesel,2890000
377,Ferrari,first,diesel,8660000
378,Porsche,third,diesel,7290000
379,Volvo,second,lpg,6340000
380,Jaguar,first,petrol,9960000
381,Renault,third,cng,8760000
382,Peugeot,third,lpg,3300000
383,Jaguar,third,diesel,4230000
384,Volvo,first,diesel,2360000
385,Ford,second,cng,7560000
386,Ford,first,diesel,4690000
387,Chevrolet,third,diesel,4000000
388,Tesla,first,cng,8550000
389,Volkswagen,second,diesel,2330000
390,Porsche,first,lpg,8740000
391,Toyota,third,petrol,6180000
392,Kia,third,cng,1410000
393,Lamborghini,first,cng,6130000
394,Chevrolet,second,petrol,6090000
395,Porsche,third,lpg,3290000
396,Audi,second,petrol,7280000
397,Volvo,first,cng,7250000
398,Chevrolet,second,petrol,6470000
399,Renault,second,petrol,5870000
400,Ford,first,diesel,3540000
401,BMW,second,lpg,9610000
402,Ferrari,first,petrol,5970000
403,Ford,third,lpg,1040000
404,Ferrari,first,diesel,5710000
405,Volkswagen,third,diesel,8140000
406,Jaguar,second,petrol,9690000
407,Chevrolet,third,petrol,6930000
408,Volvo,first,cng,4170000
409,Volkswagen,second,lpg,4130000
410,Jaguar,third,diesel,8510000
411,Tesla,second,diesel,5840000
412,Jaguar,third,cng,2180000
413,Audi,third,diesel,1630000
414,Ford,second,diesel,6720000
415,Peugeot,first,lpg,5780000
416,Audi,first,petrol,1310000
417,Porsche,first,lpg,4730000
418,Kia,first,petrol,4380000
419,Volvo,second,cng,5830000
420,Volvo,second,cng,1780000
421,Volkswagen,third,cng,6370000
422,Audi,third,diesel,5090000
423,Ford,second,diesel,1480000
424,Renault,second,lpg,2790000
425,Peugeot,first,cng,7350000
426,Chevrolet,third,lpg,9240000
427,Volvo,first,diesel,8690000
428,Renault,second,diesel,3960000
429,Renault,third,petrol,7740000
430,Renault,third,cng,9990000
431,Ferrari,second,lpg,3650000
432,Volvo,first,petrol,8310000
433,Audi,second,lpg,2120000
434,Renault,first,petrol,5560000
435,Peugeot,third,petrol,8130000
436,Tesla,third,diesel,4200000
437,Renault,first,lpg,9540000
438,Audi,second,cng,8520000
439,Chevrolet,third,lpg,2580000
440,Renault,second,petrol,4930000
441,Renault,first,diesel,6100000
442,Volvo,second,petrol,8570000
443,Audi,first,cng,5720000
444,Porsche,second,diesel,7550000
445,Renault,second,petrol,5270000
446,Honda,third,cng,3180000
447,Audi,first,petrol,2240000
448,Volkswagen,first,diesel,9590000
449,Volvo,first,diesel,6060000
450,Toyota,second,petrol,3630000
451,Tesla,second,cng,5770000
452,Toyota,third,diesel,9430000
453,Volkswagen,second,petrol,9320000
454,Audi,third,diesel,8620000
455,Toyota,third,lpg,9420000
456,Peugeot,first,cng,7720000
457,Peugeot,third,cng,2650000
458,Ferrari,first,petrol,7530000
459,Chevrolet,second,diesel,8060000
460,Ford,second,petrol,4920000
461,Porsche,first,lpg,3230000
462,Jaguar,third,petrol,5570000
463,Ford,first,diesel,3270000
464,Ferrari,third,cng,3430000
465,Ford,second,diesel,7030000
466,Peugeot,third,lpg,5800000
467,Toyota,first,lpg,5680000
468,Volvo,first,petrol,3120000
469,Toyota,third,cng,7280000
470,Peugeot,second,petrol,9590000
471,Chevrolet,third,cng,6800000
472,Tesla,third,petrol,8550000
473,Audi,second,diesel,8290000
474,Renault,first,cng,5940000
475,Ferrari,third,lpg,2520000
476,Audi,first,lpg,7580000
477,Ford,second,cng,2310000
478,Chevrolet,third,lpg,9160000
479,Chevrolet,third,petrol,4510000
480,Tesla,third,diesel,9470000
481,Audi,first,diesel,2410000
482,Porsche,third,cng,1570000
483,Renault,second,petrol,6200000
484,Audi,second,lpg,3480000
485,Jaguar,third,diesel,5060000
486,Ford,third,petrol,9190000
487,Audi,third,lpg,7960000
488,Tesla,third,cng,8800000
489,Volvo,second,lpg,2470000
490,Ford,third,diesel,9130000
491,Toyota,second,lpg,6610000
492,Tesla,second,diesel,7600000
493,Mitsubishi,second,petrol,5450000
494,Chevrolet,third,lpg,2760000
495,Ferrari,first,petrol,6610000
496,Jaguar,second,petrol,3850000
497,Jaguar,second,petrol,1720000
498,Jaguar,second,lpg,8620000
499,Toyota,second,lpg,5420000
500,Kia,first,lpg,8340000
501,Peugeot,first,diesel,9430000
502,Volvo,second,diesel,6340000
503,Tesla,first,lpg,1380000
504,Ferrari,third,petrol,6460000
505,Chevrolet,first,cng,7990000
506,Peugeot,third,lpg,5260000
507,Volvo,third,cng,5980000
508,Volvo,second,lpg,3440000
