iter	RMSE
0	11370.21467
1	10732.02561
2	10146.16254
3	9567.722096
4	9076.462282
5	8592.37108
6	8168.38697
7	7818.329744
8	7461.251826
9	7133.887347
10	6842.665125
11	6565.627542
12	6326.661502
13	6104.616777
14	5921.659433
15	5750.445012
16	5599.475909
17	5456.175162
18	5345.540006
19	5238.911339
20	5139.343368
21	5040.202066
22	4959.795619
23	4889.147001
24	4819.474016
25	4761.92846
26	4712.448653
27	4661.15525
28	4614.365825
29	4574.841361
30	4542.723447
31	4510.817542
32	4484.32178
33	4460.901068
34	4435.122528
35	4415.064169
36	4395.158172
37	4379.567612
38	4366.906216
39	4349.352758
40	4335.792171
41	4320.937379
42	4306.085912
43	4293.09059
44	4279.721851
45	4268.223648
46	4257.571716
47	4252.574198
48	4245.894227
49	4239.438286
50	4227.500915
51	4217.616334
52	4209.664682
53	4205.942017
54	4202.342058
55	4196.842822
56	4189.525442
57	4185.123
58	4180.000393
59	4174.869429
60	4165.32216
61	4160.867899
62	4156.69595
63	4153.927682
64	4144.628025
65	4139.862937
66	4131.130211
67	4126.8747
68	4121.335471
69	4117.232952
70	4109.552442
71	4102.782413
72	4101.531297
73	4094.866493
74	4088.665972
75	4084.725446
76	4081.952644
77	4081.060417
78	4074.502692
79	4069.372285
