iter	Passed	Remaining
0	1	137
1	3	137
2	5	137
3	7	143
4	9	142
5	11	138
6	13	135
7	14	127
8	15	123
9	17	119
10	18	114
11	19	111
12	21	109
13	22	107
14	24	105
15	25	103
16	27	101
17	29	100
18	30	98
19	31	95
20	33	94
21	34	91
22	36	89
23	37	87
24	39	85
25	40	84
26	41	82
27	43	80
28	44	78
29	46	76
30	47	74
31	48	73
32	50	71
33	51	70
34	53	68
35	55	67
36	56	65
37	57	64
38	59	62
39	60	60
40	62	59
41	63	57
42	65	56
43	66	54
44	68	53
45	70	51
46	71	50
47	72	48
48	73	46
49	75	45
50	76	43
51	77	41
52	79	40
53	80	38
54	82	37
55	84	36
56	85	34
57	87	33
58	88	31
59	90	30
60	91	28
61	93	27
62	94	25
63	96	24
64	98	22
65	99	21
66	100	19
67	102	18
68	103	16
69	104	14
70	106	13
71	107	11
72	108	10
73	109	8
74	111	7
75	112	5
76	114	4
77	114	2
78	116	1
79	117	0
